Greedy, UCT, KthBestPick, Random,,,Greedy,UCT,KthBestPick,Random
330,373,337,167,,,330,373,337,167
680,712,748,345,,,350,339,411,178
1023,1008,1178,518,,,343,296,430,173
1426,1362,1493,611,,,403,354,315,93
1820,1661,1847,798,,,394,299,354,187
2135,2045,2199,951,,,315,384,352,153
2447,2431,2445,1169,,,312,386,246,218
2733,2680,2852,1418,,,286,249,407,249
2998,2994,3218,1624,,,265,314,366,206
3367,3344,3542,1817,,,369,350,324,193
3755,3607,3892,2008,,,388,263,350,191
4053,3993,4145,2228,,,298,386,253,220
4425,4305,4392,2445,,,372,312,247,217
4782,4572,4757,2629,,,357,267,365,184
5091,4970,5122,2893,,,309,398,365,264
5403,5334,5364,3114,,,312,364,242,221
5730,5589,5728,3391,,,327,255,364,277
5985,5919,6094,3642,,,255,330,366,251
6373,6271,6411,3811,,,388,352,317,169
6780,6526,6784,3944,,,407,255,373,133
7037,6932,7114,4121,,,257,406,330,177
7381,7337,7452,4254,,,344,405,338,133
7734,7634,7837,4421,,,353,297,385,167
7997,8003,8239,4595,,,263,369,402,174
Starting Round 1,,,,,,,,,
365,341,455,284,,,365,341,455,284
722,736,833,531,,,357,395,378,247
1162,1124,1144,699,,,440,388,311,168
1444,1524,1599,922,,,282,400,455,223
1790,1960,1951,1177,,,346,436,352,255
2168,2307,2371,1547,,,378,347,420,370
2563,2670,2680,1753,,,395,363,309,206
2956,3028,3056,2021,,,393,358,376,268
3324,3416,3398,2417,,,368,388,342,396
3700,3798,3798,2779,,,376,382,400,362
4047,4159,4190,3103,,,347,361,392,324
4352,4522,4610,3407,,,305,363,420,304
4760,4957,4930,3614,,,408,435,320,207
5141,5295,5380,3813,,,381,338,450,199
5490,5683,5779,4020,,,349,388,399,207
5930,6084,6107,4255,,,440,401,328,235
6380,6411,6523,4438,,,450,327,416,183
6709,6847,6859,4720,,,329,436,336,282
7038,7271,7176,5001,,,329,424,317,281
7369,7599,7602,5321,,,331,328,426,320
7686,7944,8006,5566,,,317,345,404,245
8112,8297,8362,5800,,,426,353,356,234
8489,8583,8751,6026,,,377,286,389,226
8844,8997,9124,6293,,,355,414,373,267
Starting Round 2,,,,,,,,,
315,417,352,279,,,315,417,352,279
660,737,797,553,,,345,320,445,274
976,1076,1242,771,,,316,339,445,218
1384,1408,1583,1076,,,408,332,341,305
1794,1743,1905,1433,,,410,335,322,357
2114,2164,2250,1739,,,320,421,345,306
2456,2575,2670,1999,,,342,411,420,260
2773,2911,3079,2211,,,317,336,409,212
3116,3253,3488,2477,,,343,342,409,266
3514,3595,3827,2685,,,398,342,339,208
3935,4007,4169,2990,,,421,412,342,305
4272,4426,4474,3212,,,337,419,305,222
4600,4749,4825,3461,,,328,323,351,249
4948,5070,5156,3690,,,348,321,331,229
5311,5398,5515,4085,,,363,328,359,395
5649,5740,5916,4317,,,338,342,401,232
5997,6039,6264,4502,,,348,299,348,185
6318,6413,6588,4632,,,321,374,324,130
6726,6722,6966,4814,,,408,309,378,182
7101,7093,7291,5040,,,375,371,325,226
7464,7527,7630,5266,,,363,434,339,226
7784,7955,7970,5490,,,320,428,340,224
8083,8257,8398,5707,,,299,302,428,217
8450,8584,8796,5936,,,367,327,398,229
Starting Round 3,,,,,,,,,
403,383,392,176,,,403,383,392,176
785,752,792,345,,,382,369,400,169
1101,1133,1217,543,,,316,381,425,198
1475,1515,1592,637,,,374,382,375,94
1857,1857,1932,851,,,382,342,340,214
2182,2257,2344,1071,,,325,400,412,220
2603,2664,2667,1327,,,421,407,323,256
2994,2998,3045,1512,,,391,334,378,185
3276,3383,3454,1760,,,282,385,409,248
3674,3768,3850,1834,,,398,385,396,74
4099,4081,4231,2053,,,425,313,381,219
4440,4502,4595,2174,,,341,421,364,121
4805,4874,4969,2382,,,365,372,374,208
5161,5218,5295,2603,,,356,344,326,221
5544,5602,5675,2834,,,383,384,380,231
5897,5976,6024,3021,,,353,374,349,187
6188,6290,6445,3222,,,291,314,421,201
6526,6582,6817,3504,,,338,292,372,282
6913,6934,7113,3680,,,387,352,296,176
7291,7247,7453,3884,,,378,313,340,204
7615,7603,7755,4157,,,324,356,302,273
7986,8012,8049,4373,,,371,409,294,216
8315,8323,8449,4561,,,329,311,400,188
8618,8675,8845,4881,,,303,352,396,320
Starting Round 4,,,,,,,,,
381,361,361,148,,,381,361,361,148
777,760,728,317,,,396,399,367,169
1158,1156,1081,520,,,381,396,353,203
1487,1516,1506,685,,,329,360,425,165
1830,1915,1884,969,,,343,399,378,284
2207,2251,2281,1237,,,377,336,397,268
