Greedy, UCT, KthBestPick, Random
1102, 1248, 1152, 650
2183, 2443, 2455, 1296
3270, 3621, 3646, 2080
4491, 4776, 4794, 2713
5727, 5913, 5949, 3497
6835, 7170, 7139, 4218
8005, 8434, 8201, 4892
9139, 9590, 9486, 5666
10257, 10766, 10703, 6337
11485, 11924, 11867, 7078
12738, 13024, 12986, 7689
13902, 14148, 14222, 8395
15071, 15286, 15460, 9038
16211, 16457, 16624, 9760
17367, 17593, 17819, 10568
18560, 18657, 19010, 11402
19678, 19827, 20096, 12253
20810, 20956, 21155, 12953
21994, 22071, 22387, 13580
23217, 23090, 23551, 14197
24421, 24287, 24706, 14694
25598, 25478, 25933, 15163
26727, 26628, 27087, 15867
27838, 27728, 28243, 16372
Starting Round 1
1197, 1097, 1228, 481
2451, 2388, 2404, 1251
3609, 3657, 3425, 1891
4773, 4892, 4601, 2601
5933, 6083, 5881, 3348
7140, 7237, 7161, 4229
8412, 8376, 8212, 5018
9695, 9452, 9324, 5764
10784, 10719, 10475, 6490
11909, 11956, 11618, 7391
12985, 13080, 12786, 8091
14154, 14194, 14050, 8833
15382, 15369, 15323, 9503
16601, 16587, 16595, 10168
17753, 17797, 17840, 10785
18908, 19027, 18954, 11653
20067, 20235, 20206, 12328
21187, 21394, 21461, 13127
22323, 22630, 22657, 14037
23468, 23757, 23877, 14825
24710, 24836, 25108, 15676
25912, 25968, 26336, 16530
27117, 27084, 27478, 17480
28264, 28285, 28672, 18324
Starting Round 2
1159, 1205, 1023, 688
2287, 2263, 2167, 1447
3401, 3388, 3351, 1915
4612, 4533, 4519, 2422
5799, 5685, 5749, 2965
6897, 6921, 6925, 3541
8052, 8123, 8019, 4190
9189, 9138, 9307, 4840
10214, 10273, 10512, 5465
11423, 11417, 11605, 6013
12587, 12422, 12815, 6658
13621, 13586, 13970, 7272
14825, 14715, 14951, 8080
16023, 15804, 16097, 8919
17055, 16955, 17246, 9483
18154, 18177, 18297, 10156
19228, 19242, 19414, 10874
20235, 20334, 20619, 11607
21486, 21393, 21514, 12394
22674, 22387, 22659, 13093
23728, 23599, 23697, 13797
24768, 24842, 24713, 14508
25801, 25841, 26041, 15240
26847, 26911, 27310, 15809
Starting Round 3
1069, 1112, 1232, 780
2250, 2310, 2353, 1655
3398, 3483, 3546, 2453
4468, 4612, 4706, 3183
5606, 5796, 5858, 3958
6819, 6886, 6990, 4775
8001, 7975, 8135, 5383
9117, 9227, 9309, 6175
10300, 10373, 10401, 6816
11416, 11506, 11629, 7616
12529, 12690, 12803, 8404
13656, 13798, 13940, 9326
14731, 14992, 15150, 10100
15848, 16155, 16342, 10769
17011, 17332, 17487, 11449
18189, 18474, 18669, 12219
19318, 19693, 19822, 12814
20468, 20893, 20938, 13328
21568, 22056, 22157, 13908
22705, 23244, 23396, 14526
23897, 24443, 24594, 15085
25048, 25649, 25740, 15617
26226, 26834, 26942, 16122
27443, 27985, 28075, 16733
Starting Round 4
1207, 1253, 1236, 821
2426, 2421, 2532, 1555
3555, 3630, 3941, 2440
4783, 4845, 5198, 3171
6084, 6035, 6354, 3957
7244, 7350, 7537, 4683
8426, 8589, 8714, 5319
9642, 9751, 10067, 6089
10796, 10897, 11328, 6835
12091, 12078, 12469, 7689
13324, 13159, 13721, 8226
14536, 14471, 14937, 9049
15769, 15599, 16089, 9815
