Greedy, UCT, KthBestPick, Random,,,Greedy,UCT,KthBestPick,Random
234,252,123,43,,,234,252,123,43
468,446,331,206,,,234,194,208,163
669,680,546,317,,,201,234,215,111
877,914,740,480,,,208,234,194,163
1107,1066,976,573,,,230,152,236,93
1247,1306,1204,653,,,140,240,228,80
1437,1558,1309,715,,,190,252,105,62
1627,1708,1561,846,,,190,150,252,131
1795,1944,1816,926,,,168,236,255,80
2028,2172,2015,1062,,,233,228,199,136
2283,2322,2251,1198,,,255,150,236,136
2446,2574,2487,1283,,,163,252,236,85
2642,2768,2588,1447,,,196,194,101,164
2835,2936,2782,1607,,,193,168,194,160
2985,3170,2923,1779,,,150,234,141,172
3186,3398,3079,1881,,,201,228,156,102
3387,3510,3315,2010,,,201,112,236,129
3618,3711,3500,2099,,,231,201,185,89
3837,3917,3686,2211,,,219,206,186,112
4068,4148,3877,2311,,,231,231,191,100
4267,4405,4078,2417,,,199,257,201,106
4461,4638,4240,2551,,,194,233,162,134
4645,4869,4471,2611,,,184,231,231,60
4862,5063,4687,2718,,,217,194,216,107
Starting Round 1,,,,,,,,,
246,285,268,112,,,246,285,268,112
443,553,537,267,,,197,268,269,155
711,769,806,444,,,268,216,269,177
996,1015,1032,561,,,285,246,226,117
1281,1283,1278,631,,,285,268,246,70
1549,1552,1524,740,,,268,269,246,109
1795,1821,1682,889,,,246,269,158,149
2011,2014,1944,1143,,,216,193,262,254
2169,2260,2229,1286,,,158,246,285,143
2428,2476,2409,1437,,,259,216,180,151
2697,2683,2590,1656,,,269,207,181,219
2886,2942,2836,1869,,,189,259,246,213
3132,3209,3005,1993,,,246,267,169,124
3378,3378,3270,2231,,,246,169,265,238
3547,3624,3534,2397,,,169,246,264,166
3815,3845,3701,2563,,,268,221,167,166
4083,4066,3838,2744,,,268,221,137,181
4259,4334,4084,2946,,,176,268,246,202
4523,4599,4225,3076,,,264,265,141,130
4787,4747,4493,3254,,,264,148,268,178
4973,5021,4761,3384,,,186,274,268,130
5241,5295,4938,3538,,,268,274,177,154
5509,5469,5200,3694,,,268,174,262,156
5657,5737,5469,3810,,,148,268,269,116
Starting Round 2,,,,,,,,,
253,242,181,156,,,253,242,181,156
507,450,369,285,,,254,208,188,129
688,704,630,367,,,181,254,261,82
880,958,847,469,,,192,254,217,102
1122,1182,1045,556,,,242,224,198,87
1334,1424,1261,665,,,212,242,216,109
1568,1624,1424,824,,,234,200,163,159
1787,1820,1666,883,,,219,196,242,59
1977,2054,1884,1042,,,190,234,218,159
2219,2288,2082,1201,,,242,234,198,159
2461,2427,2336,1409,,,242,139,254,208
2627,2669,2500,1567,,,166,242,164,158
2880,2896,2723,1657,,,253,227,223,90
3114,3040,2940,1785,,,234,144,217,128
3288,3259,3167,1938,,,174,219,227,153
3469,3512,3328,2104,,,181,253,161,166
3684,3643,3582,2194,,,215,131,254,90
3826,3857,3817,2376,,,142,214,235,182
4068,4054,3911,2611,,,242,197,94,235
4297,4200,4144,2682,,,229,146,233,71
4465,4442,4315,2881,,,168,242,171,199
4698,4652,4453,2999,,,233,210,138,118
4895,4790,4682,3062,,,197,138,229,63
5063,4987,4911,3157,,,168,197,229,95
Starting Round 3,,,,,,,,,
216,187,189,97,,,216,187,189,97
432,357,451,263,,,216,170,262,166
641,574,672,409,,,209,217,221,146
841,807,895,558,,,200,233,223,149
1077,980,1133,731,,,236,173,238,173
1247,1180,1342,923,,,170,200,209,192
1484,1383,1503,1106,,,237,203,161,183
1721,1544,1706,1289,,,237,161,203,183
1871,1782,1904,1449,,,150,238,198,160
2071,2020,2096,1615,,,200,238,192,166
2292,2210,2317,1735,,,221,190,221,120
2465,2431,2569,1934,,,173,221,252,199
2702,2649,2791,2002,,,237,218,222,68
2939,2813,3009,2074,,,237,164,218,72
3105,3065,3241,2230,,,166,252,232,156
3278,3282,3452,2274,,,173,217,211,44
3473,3443,3669,2346,,,195,161,217,72
3646,3639,3902,2522,,,173,196,233,176
3869,3838,4079,2604,,,223,199,177,82
4072,4054,4232,2781,,,203,216,153,177
4218,4278,4478,2935,,,146,224,246,154
4445,4481,4682,2963,,,227,203,204,28
4615,4716,4885,3166,,,170,235,203,203
4788,4945,5088,3355,,,173,229,203,189
Starting Round 4,,,,,,,,,
277,266,168,161,,,277,266,168,161
562,491,434,389,,,285,225,266,228
787,768,700,611,,,225,277,266,222
1053,1053,868,810,,,266,285,168,199
1317,1278,1153,1020,,,264,225,285,210
1525,1542,1438,1176,,,208,264,285,156
1810,1758,1642,1375,,,285,216,204,199
2089,1962,1908,1533,,,279,204,266,158
2267,2247,2154,1629,,,178,285,246,96
2485,2532,2285,1704,,,218,285,131,75
2731,2684,2564,1779,,,246,152,279,75
2936,2950,2843,1903,,,205,266,279,124
3221,3137,2980,2030,,,285,187,137,127
3490,3359,3213,2171,,,269,222,233,141
3718,3636,3438,2374,,,228,277,225,203
3943,3921,3569,2491,,,225,285,131,117
4151,4076,3854,2639,,,208,155,285,148
4379,4232,4131,2806,,,228,156,277,167
4643,4436,4343,3069,,,264,204,212,263
4880,4664,4562,3278,,,237,228,219,209
5086,4910,4729,3444,,,206,246,167,166
5279,5174,4933,3626,,,193,264,204,182
5512,5404,5156,3829,,,233,230,223,203
5740,5637,5360,4073,,,228,233,204,244
Starting Round 5,,,,,,,,,
194,218,161,100,,,194,218,161,100
388,388,385,166,,,194,170,224,66
539,582,609,311,,,151,194,224,145
729,767,851,414,,,190,185,242,103
927,978,1045,480,,,198,211,194,66
1108,1202,1239,566,,,181,224,194,86
1302,1394,1423,717,,,194,192,184,151
1487,1578,1615,813,,,185,184,192,96
1652,1772,1839,975,,,165,194,224,162
1876,1945,1990,1126,,,224,173,151,151
2100,2110,2162,1242,,,224,165,172,116
2279,2328,2356,1384,,,179,218,194,142
2464,2564,2507,1556,,,185,236,151,172
2658,2717,2738,1704,,,194,153,231,148
2811,2911,2980,1854,,,153,194,242,150
2973,3105,3133,2048,,,162,194,153,194
3209,3307,3327,2173,,,236,202,194,125
3393,3485,3521,2320,,,184,178,194,147
3604,3656,3709,2395,,,211,171,188,75
3815,3796,3951,2520,,,211,140,242,125
3935,4037,4143,2661,,,120,241,192,141
4127,4246,4314,2807,,,192,209,171,146
4358,4432,4555,2883,,,231,186,241,76
4544,4633,4796,2958,,,186,201,241,75
Starting Round 6,,,,,,,,,
237,226,189,133,,,237,226,189,133
474,435,447,246,,,237,209,258,113
668,672,705,426,,,194,237,258,180
900,918,919,584,,,232,246,214,158
1121,1132,1165,743,,,221,214,246,159
1374,1409,1395,856,,,253,277,230,113
1586,1667,1621,1001,,,212,258,226,145
1822,1858,1833,1072,,,236,191,212,71
